,ASIN,Title,ProductGroup,ProductTypeName
90,B01M8PMI4H,Adidas Superstar (Kids),Shoes,SHOES
91,B01LZTV323,S76039 GRADE SCHOOL TUBULAR X PK J ADIDAS WHITE,Shoes,SHOES
92,B0117OBV3M,"adidas Originals Superstar CF I Kids Shoe (Infant/Toddler),White/White/Black,9 M US Toddler",Shoes,SHOES
93,B010S0BX70,"adidas Youth Soccer Condivo 16 Pants, Black/White, Small",Sports,SPORTING_GOODS
94,B0716SZ3R4,Adidas Kids Ace 17+ Purecontrol White/Core Black Soccer Shoes Soccer Shoes - 4Y,Shoes,SHOES
95,B010Q3KBRM,"adidas Performance D Rose 6 Boost J Shoe (Big Kid),Black/Purple/Gold,6.5 M US Big Kid",Shoes,SHOES
96,B01HON7T9U,Adidas Big Boys Youth 3-Stripe Mesh Performance Shorts,Apparel,SHORTS
97,B01LWAPWPP,"Adidas Big Boys Youth Game Time Fleece Pants, Black Br Yellow",Apparel,PANTS
98,B01A1HMZIG,"adidas NEO Boys' BB9TIS Mid Inf Sneaker, Black/Infrared/White, 7 M US Toddler",Shoes,SHOES
99,B01DS2SWRY,Adidas ACE 16.1 Junior FG Cleats [SHOBLU/FTWWHT/SESOSL] (1.5),Shoes,SPORTING_GOODS
100,B01HPFLCYK,"adidas Originals Boys' Tubular Shadow C Sneaker, Clear/Brown/Collegiate Silver/Black, 3 M US Little Kid",Shoes,SHOES
101,B01N7GAM1F,"adidas Toddler Boys' Striker Soccer Pant, Black/Red, 4",Apparel,PANTS
102,B076744RNV,adidas Originals Girls' 3-Stripes Trefoil T-Shirt,Sports,SPORTING_GOODS
103,B0742GVKVV,adidas Little Boys Training Marvel Spider-Man Hoodie (S),Apparel,SWEATER
104,B01MTKUXLB,"adidas Performance Boys' Alphabounce Ams j Running Shoe, Clear/Grey/Light Onix/Medium Grey Heather, 4 M US Big Kid",Shoes,SHOES
105,B01MQU3RNT,"Adidas Big Boys' Baselayer Top, White, M",Apparel,SHIRT
106,B00YFJ63Z8,"Adidas Little Boys' 3-piece Tracksuit (2T, Blue)",Sports,SPORTING_GOODS
107,B0744R5RK1,Adidas Jr Messi 16.3 IN Red/FtwWht/Cblack Shoes - 4.5Y,Shoes,SHOES
108,B06XFPNR4Y,adidas Kids  Boy's Short Sleeve Pattern Fill Logo Tee (Big Kids) Adi Black Medium,Apparel,SHIRT
109,B01NBB8L0Q,"adidas Boys Tennis Barricade Shorts, Black, Small",Sports,SPORTING_GOODS
110,B074NWY9SL,ultraBOOST uncaged j - Adidas,Apparel,APPAREL
111,B06XY8W8QW,adidas Kid's Messi 16+ Pureagility Soccer Cleat (5.5),Shoes,SHOES
